Candidate,Polling,Pollster,Nationwide,State,Sample_Size,Voter_Type,DMY,Link
"Ron Desantis",27.00,"Echelon Insights",1,NULL,832,"Registered Voters",2024-01-16,https://x.com/Politics_Polls/status/1749632663122505993?s=20
"J.D. Vance",1.00,"Echelon Insights",1,NULL,832,"Registered Voters",2024-01-16,https://x.com/Politics_Polls/status/1749632663122505993?s=20
"Nikki Haley",19.00,"Echelon Insights",1,NULL,832,"Registered Voters",2024-01-16,https://x.com/Politics_Polls/status/1749632663122505993?s=20
"Vivek Ramaswamy",18.00,"Echelon Insights",1,NULL,832,"Registered Voters",2024-01-16,https://x.com/Politics_Polls/status/1749632663122505993?s=20
"Tucker Carlson",6.00,"Echelon Insights",1,NULL,832,"Registered Voters",2024-01-16,https://x.com/Politics_Polls/status/1749632663122505993?s=20
"Greg Abbott",3.00,"Echelon Insights",1,NULL,832,"Registered Voters",2024-01-16,https://x.com/Politics_Polls/status/1749632663122505993?s=20
"Brian Kemp",1.00,"Echelon Insights",1,NULL,832,"Registered Voters",2024-01-16,https://x.com/Politics_Polls/status/1749632663122505993?s=20
"Elise Stefanik",1.00,"Echelon Insights",1,NULL,832,"Registered Voters",2024-01-16,https://x.com/Politics_Polls/status/1749632663122505993?s=20
"Byron Donalds",1.00,"Echelon Insights",1,NULL,832,"Registered Voters",2024-01-16,https://x.com/Politics_Polls/status/1749632663122505993?s=20
"Tom Cotton",1.00,"Echelon Insights",1,NULL,832,"Registered Voters",2024-01-16,https://x.com/Politics_Polls/status/1749632663122505993?s=20
"Glenn Youngkin",2.00,"Echelon Insights",1,NULL,832,"Registered Voters",2024-01-16,https://x.com/Politics_Polls/status/1749632663122505993?s=20
"Kari Lake",2.00,"Echelon Insights",1,NULL,832,"Registered Voters",2024-01-16,https://x.com/Politics_Polls/status/1749632663122505993?s=20
"J.D. Vance",25.00,"Echelon Insights",1,NULL,932,"Registered Voters",2024-07-19,https://echeloninsights.com/in-the-news/july2024-verified-voter-omnibus-2-2-2-2/
"Nikki Haley",9.00,"Echelon Insights",1,NULL,932,"Registered Voters",2024-07-19,https://echeloninsights.com/in-the-news/july2024-verified-voter-omnibus-2-2-2-2/
"Vivek Ramaswamy",10.00,"Echelon Insights",1,NULL,932,"Registered Voters",2024-07-19,https://echeloninsights.com/in-the-news/july2024-verified-voter-omnibus-2-2-2-2/
"Marco Rubio",2.00,"Echelon Insights",1,NULL,932,"Registered Voters",2024-07-19,https://echeloninsights.com/in-the-news/july2024-verified-voter-omnibus-2-2-2-2/
"Ted Cruz",4.00,"Echelon Insights",1,NULL,932,"Registered Voters",2024-07-19,https://echeloninsights.com/in-the-news/july2024-verified-voter-omnibus-2-2-2-2/
"Sarah Huckabee Sanders",3.00,"Echelon Insights",1,NULL,932,"Registered Voters",2024-07-19,https://echeloninsights.com/in-the-news/july2024-verified-voter-omnibus-2-2-2-2/
"Ron Desantis",14.00,"Echelon Insights",1,NULL,932,"Registered Voters",2024-07-19,https://echeloninsights.com/in-the-news/july2024-verified-voter-omnibus-2-2-2-2/
"Tim Scott",2.00,"Echelon Insights",1,NULL,932,"Registered Voters",2024-07-19,https://echeloninsights.com/in-the-news/july2024-verifiedRepublican_Party_Primary_Polling-voter-omnibus-2-2-2-2/
"Byron Donalds",1.00,"Echelon Insights",1,NULL,932,"Registered Voters",2024-07-19,https://echeloninsights.com/in-the-news/july2024-verified-voter-omnibus-2-2-2-2/
